Keyword,Sentence,Similarity,New_sentence
stark,är professionell har en stark drivkraft och ett stort engagemang,0.8510830402374268,personen utstrålar en professionell och motiverad inställning med en imponerande dedikation till sitt arbete
stark,du är driven med en stark vilja att utvecklas inom,0.8504469394683838,din passion och entusiasm för att utvecklas och förbättra dig själv är mycket inspirerande och uppmuntrande
stark,vi vill skapa en samling av dom bästa inom vår nisch och bygga en stark kultur av gemenskap ambition och kunskap,0.8417215347290039,vi strävar efter att samla de mest exceptionella individerna inom vår nisch och bygga upp en positiv och sammanhängande kultur som främjar ambition, gemenskap och kunskap
drivkraft,vi kommer att lägga stor vikt vid din personliga lämplighet varvid vi söker dig som har en stark drivkraft och engagerar dig din uppgift samt företagets gemensamma utveckling,0.7954831719398499,vi värderar din personliga lämplighet högt och letar efter någon som är entusiastisk över att utföra sin uppgift samtidigt som de vill bidra till företagets framsteg
drivkraft,du har en stor drivkraft av att utveckla dig själv på både ett tekniskt och ett personligt plan,0.7600862979888916,du är ambitiös i ditt arbete och vill utveckla dig själv både personligt och tekniskt
drivkraft,är professionell har en stark drivkraft och ett stort engagemang,0.7538030743598938,du är mycket professionell och inspireras av att arbeta hårt och engagerat för att uppnå dina mål
chef,hur du utvecklas framöver och vad du vill jobba med framtiden bestämmer du tillsammans med din chef och ni gör tillsammans en planering för din framtida karriär,0.7860339879989624,du och din närmaste arbetsledare arbetar tillsammans för att skapa en plan för din framtida karriär och utveckling
chef,tillsammans med din chef sätter ni sedan kontinuerligt mål arbetet och utbildningsmål,0.7788658142089844,ni jobbar ihop för att sätta upp mål och utbildningsmål för din utveckling och tillväxt
chef,på semcon får du tillsammans med ett sammansvetsat team och en lyhörd chef möjligheten att utveckla samtidens och framtidens mjukvara med våra kundbolag lokalt regionalt och globalt inom branschen industry,0.766005277633667,på Semcon är du en del av ett tight team med en uppmärksam ledare, och tillsammans har ni möjligheten att utveckla mjukvara för dagens och morgondagens behov hos våra kunder runtom i världen inom branschen industry
analys,visualisering och analys av data,0.9548572301864624,utforska och presentera information på ett visuellt sätt
analys,data management bi och avancerad analys,0.8901174068450928,effektivt hantera data med hjälp av BI och avancerad teknik
analys,analys av larm och incidenter,0.8858315348625183,undersök larm och incidenter för ökad säkerhet och effektivitet
analytisk,som person är du en målmedveten problemlösare med god analytisk förmåga,0.9879473447799683,du är en person som är skicklig på att lösa problem och har en tydlig målsättning
analytisk,som person är du kreativ och engagerad med god analytisk förmåga,0.9696426391601562,du är engagerad och kreativ med förmåga att hitta lösningar
analytisk,som person är du strukturerad har god analytisk förmåga och har en förståelse för komplexa flöden och beroendesamband,0.9651080965995789,du har ett strukturerat tillvägagångssätt och förstår komplexa flöden och samband
driven,din profil som person tror vi att du som söker är nyfiken ansvarsfull och driven,0.9389649629592896,som person tror vi att du är nyfiken, ansvarsfull och entusiastisk
driven,din profil vi söker dig som är flexibel driven och ansvarstagande,0.9268109202384949,vi söker en person som är flexibel, engagerad och tar ansvar
driven,nu söker vi en driven supportansvarig till cedoc skara,0.9216480255126953,cedoc skara söker en entusiastisk och engagerad supportansvarig
individer,atea skellefteå består av en härlig mix av olika typer av individer med olika kompetenser,0.765784502029419,Atea Skellefteå har en inspirerande mix av olika kompetenser och personligheter
individer,din drivkraft och självständighet kommer därför att finna en sund gemenskap där vi kommunicerar avslappnat tillitsfullt och tydligt mellan individer och olika grupper,0.7430939674377441,du kommer vara en del av en gemenskap som präglas av öppenhet tillit och tydlig kommunikation
individer,kunden erbjuder en unik möjlighet att arbeta med spännande teknik utmanande miljöer tillsammans med individer som hjälper varandra att utvecklas,0.726560115814209,här finns chans att arbeta med spännande teknik i en utmanande miljö med kollegor som stöttar varandra
beslut,du är lyhörd samtidigt som du kan fatta egna beslut,0.8012468814849854,Som sökande uppskattar vi din förmåga att lyssna och agera på feedback
beslut,kan fatta beslut ta initiativ och samtidigt har lätt för att be om hjälp när behov finns,0.7741955518722534,Initiativtagande och samtidigt öppen för att be om hjälp vid behov
beslut,du tar stort eget ansvar och kan fatta egna beslut för att komma framåt ditt arbete,0.7727611064910889,Vi söker en person som tar ansvar för sitt arbete och har förmågan att hitta lösningar på egen hand
kompetent,du blir en del av ett litet men kompetent team av projektledare marknadsförare och sjukgymnaster,0.9592245817184448,Du blir en värdefull del av ett team bestående av kunniga projektledare marknadsförare och sjukgymnaster
kompetent,här blir du en del av ett kompetent team som sitter bolagets lokaler sundbyberg,0.8913000822067261,Här kommer du att ingå i ett skickligt team som sitter i bolagets lokaler i Sundbyberg
kompetent,du kommer att vara en del av ett kompetent och trevligt team som trivs ihop,0.8561378121376038,Du kommer att tillhöra ett trevligt och kunnigt team som trivs tillsammans
självständig,du är tekniskt intresserad och trivs rollen som självständig hantverkare,0.7880085706710815,Vi söker dig som har ett tekniskt intresse och gillar att arbeta självgående som hantverkare
självständig,denna tjänst söker vi efter en självständig person som samtidigt trivs med att vara en viktig lagspelare,0.7862316370010376,Till denna tjänst söker vi en person som är kapabel att samarbeta med andra och som spelar en viktig roll i teamet
självständig,du tycker om att jobba med proaktiv problemlösning en självständig roll,0.7849795818328857,Vi söker en person som har en passion för att lösa problem proaktivt och som kan arbeta på egen hand